load_1,load_2,load_3,load_4
0.513314817,0.435216235,0.497238258,0.444442087
0.468884541,0.399727598,0.453243863,0.412794364
0.442302699,0.388546979,0.427374444,0.398923322
0.42502816,0.384595234,0.411692387,0.396621264
0.414222649,0.377089001,0.403452859,0.399058449
0.40692952,0.391652654,0.398222526,0.411089454
0.418560388,0.440095461,0.408924564,0.440354325
0.457764537,0.490784089,0.443971875,0.477052954
0.517030421,0.553925869,0.501731883,0.519886806
0.587966151,0.621191987,0.567043252,0.561468235
0.6637351,0.677961398,0.633973443,0.591296343
0.728745367,0.730108909,0.693635017,0.615052786
0.785917004,0.771711183,0.749252338,0.637325298
0.812532773,0.780055958,0.778603021,0.640687299
0.826463428,0.783126719,0.78958832,0.639591464
0.830362211,0.77993525,0.795044106,0.645715987
0.849221483,0.770935275,0.803192333,0.656842849
0.840713576,0.719090352,0.778447258,0.651177768
0.826214054,0.71797783,0.75924813,0.667851583
0.813040342,0.706323933,0.750757405,0.675815254
0.787261709,0.655797047,0.730884482,0.643539205
0.739496923,0.591107769,0.674616498,0.587173477
0.663388469,0.526009707,0.602923735,0.53017682
0.592060903,0.476462789,0.537939469,0.477724098
0.519281499,0.414213302,0.471928438,0.433063393
0.469940762,0.400874414,0.431443752,0.409978486
0.449385371,0.393088578,0.41520154,0.405688688
0.440705659,0.408277619,0.410564516,0.417252658
0.439397539,0.428506067,0.421330418,0.443719875
0.459445537,0.470452396,0.44403382,0.479146202
0.498691621,0.519873203,0.479498817,0.517178716
0.562719599,0.582950408,0.527901283,0.563650193
0.622090372,0.633055024,0.573698371,0.610941748
0.67415595,0.671760375,0.617039054,0.645755075
0.731009271,0.718026304,0.661201434,0.66500228
0.787361749,0.761661531,0.709981992,0.691591896
0.828646933,0.797671135,0.760037833,0.721679925
0.853185964,0.811362271,0.789280841,0.736829754
0.866977611,0.833029936,0.81567517,0.74399525
0.8889232,0.863544959,0.855401809,0.763957526
0.9303782,0.89338115,0.896164673,0.789485804
0.958457598,0.893431677,0.920220786,0.805757615
0.914794026,0.806271218,0.875472398,0.778070321
0.820026832,0.715872827,0.782144027,0.710178715
0.76410281,0.653969053,0.722990355,0.644509191
0.716515928,0.576287898,0.665627751,0.582634545
0.645859623,0.506486258,0.593841337,0.522565652
0.5768882,0.464102897,0.532950056,0.478703861
0.524879162,0.432249853,0.490097526,0.449431249
0.494198053,0.412884139,0.460955472,0.431091309
0.47148397,0.40034303,0.441442107,0.424267002
0.457761759,0.407500061,0.434655392,0.433537591
0.457578036,0.420270125,0.441912735,0.457285989
0.472069074,0.451325686,0.4632692,0.492702345
0.50640448,0.489702626,0.494660739,0.534800551
0.553949294,0.535904775,0.544447961,0.589148386
0.596853073,0.564340347,0.589722562,0.635440783
0.627783311,0.582647433,0.625704727,0.669528953
0.665459517,0.604578321,0.661104626,0.697233137
0.70287233,0.633875166,0.701459663,0.729925021
0.739896462,0.657967401,0.74244656,0.754427773
0.76280353,0.668418205,0.77297553,0.759958013
0.779545323,0.690034951,0.793166206,0.775608214
0.813553906,0.725355527,0.832268003,0.80553324
0.856470394,0.758871379,0.87312289,0.83826305
0.884354175,0.760634773,0.891360908,0.847511005
0.839982241,0.676095962,0.83845392,0.804042146
0.740979026,0.594646201,0.737585656,0.724749973
0.680848233,0.542325757,0.676655108,0.656229663
0.633130795,0.478222912,0.613426233,0.587758916
0.559695961,0.418862878,0.537279201,0.523933311
0.496057499,0.385654961,0.477060465,0.476334065
0.452160557,0.361730997,0.436707021,0.445958023
0.424296672,0.350362237,0.408782234,0.42591453
0.409975233,0.345319489,0.390306577,0.415591855
0.404174071,0.35710714,0.384697902,0.423840165
0.407996347,0.375918828,0.393500465,0.444826625
0.42236527,0.409704701,0.412567293,0.476445799
0.455127548,0.450104171,0.443970363,0.512194283
0.511484915,0.500766238,0.490149935,0.562117208
0.558981287,0.534673497,0.534281842,0.608418373
0.599016553,0.560037076,0.570153991,0.646519259
0.643590092,0.594134129,0.608271419,0.677124431
0.68992822,0.632629408,0.655369784,0.718108276
0.738899232,0.673151133,0.705386541,0.756151466
0.770163882,0.698393549,0.744416749,0.782612554
0.800358044,0.733426396,0.782202917,0.809500188
0.849159585,0.781946259,0.837368546,0.848538013
0.906036235,0.824780508,0.891858099,0.883457688
0.955844686,0.829376112,0.923167646,0.885836684
0.914629412,0.731941156,0.869619732,0.825274
0.802228585,0.636786353,0.756619744,0.731730488
0.728271732,0.576432043,0.68664537,0.654112104
0.676110568,0.505646739,0.620010598,0.576754716
0.599119768,0.443011275,0.54440217,0.501326147
0.526749003,0.405382248,0.481253089,0.449524767
0.478736237,0.376185248,0.43825458,0.414349
0.443071554,0.362387367,0.409920377,0.389727537
0.423999216,0.355610057,0.39245549,0.375947058
0.416683789,0.368277555,0.387011067,0.380687969
0.425191031,0.385373708,0.397433966,0.400793708
0.439310565,0.421623531,0.418686319,0.434342215
0.472536273,0.468278008,0.450199268,0.482701764
0.531101982,0.528068521,0.501334214,0.550713769
0.583769842,0.578728775,0.553592109,0.612871485
0.641963286,0.621434457,0.604871191,0.664635566
0.704219319,0.67558306,0.66133737,0.710560699
0.765808752,0.730888922,0.723354339,0.765612634
0.822660082,0.778394646,0.785507196,0.814283001
0.863160482,0.809875192,0.829732969,0.843488065
0.887650866,0.841718359,0.863630883,0.872209786
0.917525453,0.88242409,0.913345662,0.909450092
0.964696738,0.916082283,0.963203908,0.946310968
1,0.918524618,0.987384166,0.947090994
0.955911536,0.821838279,0.937569543,0.87793343
0.850041522,0.721732293,0.828619106,0.770796768
0.790857358,0.659345126,0.762684338,0.685737944
0.736414489,0.582892318,0.693021153,0.601574984
0.662769695,0.512613451,0.616460553,0.525150719
0.592672479,0.468686017,0.549932045,0.468889682
0.543119632,0.432102078,0.501445001,0.428678941
0.511119279,0.412576429,0.467676922,0.403163288
0.482629776,0.401215779,0.447791411,0.388794695
0.474252222,0.409944208,0.437451941,0.39319234
0.471131431,0.422993643,0.44250575,0.409626606
0.486514092,0.459626002,0.460219698,0.442837686
0.509767847,0.516274434,0.49038581,0.492700153
0.580613032,0.595351649,0.545611505,0.563710955
0.643211031,0.666669706,0.609588743,0.635060141
0.697154223,0.728131988,0.669265062,0.689605196
0.759181453,0.785665326,0.7282937,0.741920378
0.813154588,0.843240647,0.790429831,0.793798675
0.867344687,0.879580407,0.847038637,0.839631223
0.886590228,0.895168261,0.878893456,0.868550323
0.90013305,0.91703353,0.902962981,0.893073355
0.927017418,0.956312235,0.939528251,0.925456525
0.968816199,0.992669421,0.981813523,0.95252124
0.990848992,0.993738922,1,0.947125858
0.938107573,0.901690436,0.947421256,0.881492644
0.84532758,0.802973191,0.846919234,0.781243215
0.780170741,0.740622743,0.783858811,0.702838465
0.736237983,0.663895457,0.72140961,0.624866764
0.672406103,0.587985117,0.65009009,0.555122332
0.607551397,0.533967049,0.588568145,0.499813147
0.567925448,0.512515996,0.553585052,0.47142316
0.534855755,0.468358514,0.516182843,0.44012313
0.502648923,0.449391545,0.485480232,0.418896936
0.48513727,0.440655614,0.465597697,0.411908596
0.470770653,0.42939537,0.452494882,0.409404586
0.474242976,0.443927222,0.447665752,0.420933733
0.488748866,0.489765493,0.459749434,0.462757239
0.532167374,0.548665839,0.502901481,0.524274601
