load_1,load_2,load_3,load_4
0.500888312,0.421685666,0.485378066,0.435789253
0.454987168,0.385338751,0.440159753,0.40287655
0.428193797,0.374598932,0.414240969,0.388685228
0.411432818,0.37064015,0.399045538,0.386322004
0.400543663,0.362875154,0.390686946,0.388257981
0.393525809,0.377434029,0.385689637,0.399899598
0.405397315,0.424520966,0.396492534,0.428614841
0.443577327,0.47296008,0.430208313,0.463615639
0.501765949,0.535682541,0.486993075,0.505694594
0.572824261,0.604011953,0.552816049,0.548304623
0.649638055,0.662472788,0.620973969,0.580242086
0.716391686,0.717184632,0.682680166,0.606915767
0.776339468,0.762412063,0.741224655,0.632536388
0.804058716,0.770251909,0.771552152,0.637059228
0.817750553,0.773706471,0.78249744,0.63624968
0.822126329,0.771346274,0.78850154,0.643168343
0.842433539,0.76466324,0.79810634,0.655615873
0.83364869,0.710654385,0.772654009,0.649331191
0.820062698,0.712756662,0.75464273,0.666842085
0.80850329,0.700606816,0.747375817,0.675128961
0.781282668,0.648177233,0.725927114,0.641038013
0.730891058,0.581381802,0.667163046,0.58228083
0.652886349,0.515050125,0.593729357,0.52351684
0.580428307,0.464777474,0.527842652,0.470204561
0.504522344,0.398017611,0.458879643,0.422788664
0.453466674,0.385078593,0.416963001,0.398236298
0.433381936,0.37722056,0.401081938,0.39390647
0.425047992,0.392183313,0.396714942,0.405194722
0.423662528,0.411001268,0.406920249,0.430477142
0.443388678,0.452572774,0.429229466,0.464968575
0.482815457,0.501868282,0.464801025,0.502625115
0.548189509,0.567164367,0.514533448,0.550468372
0.608135933,0.616996852,0.561289909,0.598418465
0.658480012,0.654419565,0.603593089,0.632363947
0.713836769,0.70043262,0.646872497,0.651496668
0.770232754,0.745157492,0.696041348,0.679265471
0.812402245,0.781968958,0.746746748,0.710531048
0.836980221,0.795195713,0.775895097,0.725951781
0.851457787,0.818316553,0.802825408,0.734356764
0.877155399,0.85360656,0.845975715,0.758218989
0.924879737,0.890178405,0.89280191,0.789690368
0.959230867,0.894893505,0.92248821,0.810687148
0.913261593,0.79945859,0.874541471,0.779565402
0.808961974,0.698992061,0.771773527,0.702507082
0.746449097,0.635329479,0.7065501,0.631629697
0.696953927,0.55748569,0.647578089,0.568718753
0.625844126,0.487868945,0.5755554,0.5083981
0.557705875,0.446674746,0.515562184,0.465026193
0.506719817,0.415423066,0.473601063,0.436296945
0.476605824,0.39678689,0.445129751,0.418320375
0.454466067,0.384367612,0.426120221,0.411581356
0.4413353,0.391647851,0.419729321,0.420677422
0.441090789,0.403385865,0.426593693,0.443341106
0.455521761,0.434474953,0.447636654,0.477869678
0.490267301,0.472864162,0.479263503,0.519515528
0.53971615,0.521639584,0.530412985,0.575049237
0.58370054,0.550311565,0.576700115,0.621826576
0.61359646,0.568078386,0.611846142,0.655014561
0.650454119,0.590712633,0.646655105,0.682395387
0.688450421,0.621492,0.687661208,0.716156173
0.726503266,0.646702001,0.729582239,0.741914238
0.749545483,0.656861206,0.760036379,0.747952861
0.76682595,0.679877597,0.780886196,0.764806135
0.804143763,0.719590848,0.823375864,0.798568572
0.853008039,0.759399957,0.870299448,0.837334497
0.886873795,0.765567029,0.894175671,0.851458282
0.840385757,0.673503523,0.838223429,0.804540976
0.732481628,0.582785942,0.728412383,0.71629725
0.666345289,0.528579231,0.661816588,0.642746361
0.616962717,0.464191947,0.59734464,0.573451481
0.543333045,0.404770415,0.521256422,0.509490298
0.480437301,0.372367021,0.462017031,0.46256287
0.437295088,0.348607718,0.422628937,0.432873875
0.409901777,0.337592107,0.395390891,0.413286679
0.395831205,0.332346473,0.377369057,0.403167008
0.390266736,0.344017104,0.372082358,0.411316128
0.393838266,0.361524955,0.380440598,0.431341272
0.408081039,0.395130796,0.39924712,0.462211609
0.441168134,0.435320695,0.430685805,0.497703315
0.498971853,0.488182701,0.478091846,0.548893279
0.547319801,0.521903181,0.523111818,0.595730941
0.586099475,0.546527621,0.558214348,0.632887249
0.62970783,0.580950515,0.595768729,0.663030098
0.676425455,0.620613139,0.643349478,0.704781394
0.726092494,0.661759524,0.694060733,0.743679291
0.757188965,0.686226171,0.732809878,0.770074913
0.787588378,0.722325158,0.770853097,0.79778098
0.839481803,0.775141812,0.829184231,0.840471272
0.902284514,0.824458019,0.889668823,0.881563675
0.95825227,0.833763189,0.926794589,0.889090907
0.914715932,0.728503443,0.870136731,0.825322214
0.792727202,0.623751924,0.747844563,0.723092083
0.712544389,0.56158689,0.672086331,0.640674247
0.658663997,0.490642943,0.604248874,0.562817547
0.581446204,0.428010559,0.528607312,0.487704179
0.510048444,0.391370622,0.466466703,0.436820192
0.462901649,0.362245371,0.424266775,0.402542062
0.427860034,0.348856978,0.396516318,0.378567874
0.409201552,0.341928519,0.37943044,0.365149999
0.402178294,0.354462308,0.374289943,0.369937961
0.410268828,0.370310767,0.384204269,0.389157111
0.424258247,0.4062912,0.405083078,0.421916134
0.457820326,0.45247845,0.436709498,0.469559321
0.517758452,0.514189637,0.488967417,0.538135137
0.571092554,0.564353926,0.541852823,0.600324372
0.627490009,0.605764343,0.591895277,0.650683599
0.688108773,0.659440562,0.647111389,0.695688476
0.749502752,0.715496703,0.709100345,0.751064151
0.806757338,0.763464189,0.771538215,0.800321323
0.846804336,0.793942988,0.815254212,0.829420876
0.871606218,0.826918583,0.849428239,0.859026668
0.905024397,0.872285722,0.902462435,0.900269664
0.958421777,0.912773052,0.958602131,0.94377142
1,0.920070316,0.98871889,0.95018205
0.953516726,0.815118746,0.935620786,0.877662139
0.837936558,0.704907975,0.816941753,0.761506273
0.772107831,0.640645706,0.744863391,0.671525266
0.715950691,0.563981408,0.673898624,0.58695583
0.641963711,0.493919028,0.59724894,0.510848025
0.572736059,0.451265761,0.531833231,0.455573496
0.524115552,0.414995753,0.484316253,0.416333533
0.492702339,0.396218918,0.451425911,0.391507789
0.465019956,0.384880059,0.43203554,0.37752138
0.457018932,0.39368144,0.422233757,0.381973145
0.453929383,0.405613516,0.426963509,0.397640552
0.469199618,0.442090446,0.444536621,0.430098686
0.493242351,0.498246228,0.475059682,0.479175857
0.565181673,0.578914478,0.531481599,0.550614313
0.628264544,0.649320004,0.595921276,0.62170752
