load_1,load_2,load_3,load_4
0.533170538,0.455830182,0.515872668,0.454800121
0.491458852,0.422338356,0.474435365,0.426042078
0.465288,0.410344906,0.448787923,0.412965721
0.447090673,0.406405146,0.432271473,0.410818349
0.436490041,0.399552046,0.424353353,0.414242034
0.428807501,0.414035975,0.41881435,0.426934569
0.440082338,0.464397843,0.429305227,0.456919971
0.481091492,0.518417103,0.466499458,0.496045002
0.542074944,0.581556226,0.525600805,0.539456039
0.612414774,0.646194366,0.589582605,0.578538977
0.686084729,0.699842028,0.654138505,0.604509511
0.748059787,0.747481522,0.710212799,0.623261479
0.800432952,0.783141572,0.760910158,0.640052193
0.825225386,0.792203519,0.788618053,0.641569941
0.839640107,0.794938695,0.799781114,0.640144459
0.843013225,0.790665465,0.804549148,0.645017016
0.859787765,0.778219412,0.810520655,0.654034863
0.852499091,0.730864431,0.787603229,0.649766343
0.83729203,0.724315355,0.766685985,0.664732766
0.820994161,0.712454213,0.7554118,0.671240735
0.796658516,0.664913615,0.737340353,0.641677795
0.752662566,0.603813755,0.68497746,0.589469512
0.679688453,0.54114414,0.616333271,0.535807513
0.610391312,0.493443175,0.553232985,0.485538259
0.543511514,0.440074676,0.493151455,0.446607999
0.497525554,0.426270947,0.455714338,0.426732498
0.476280901,0.418719801,0.439004769,0.422715667
0.467017561,0.434173216,0.433926035,0.434690694
0.465777563,0.456608082,0.445563699,0.462908487
0.486260937,0.498848992,0.468755409,0.499382849
0.524994394,0.547584836,0.503529251,0.537124142
0.58674424,0.606741806,0.549380637,0.580683173
0.64520881,0.657192619,0.593598943,0.626513374
0.700043006,0.698149869,0.638799402,0.662708516
0.759272909,0.744811494,0.684555825,0.682287478
0.815619446,0.786557503,0.732704735,0.706790238
0.855319878,0.821156382,0.781607273,0.734754964
0.879792904,0.835587375,0.810999085,0.749386857
0.892432018,0.854817184,0.836488656,0.754462376
0.908127209,0.8771513,0.870333724,0.767715033
0.939319457,0.896111985,0.901022697,0.783538158
0.957789387,0.889262124,0.916384372,0.792646388
0.918750264,0.815557401,0.877132905,0.770494892
0.839233076,0.741707272,0.799171822,0.717614182
0.793549622,0.682384234,0.749675041,0.660602032
0.748760982,0.605365746,0.694861882,0.60075048
0.678949375,0.5356531,0.623661141,0.541671594
0.608705544,0.491630571,0.561511794,0.497563517
0.555054133,0.458925637,0.517387997,0.467884023
0.523477867,0.438566109,0.487312143,0.449333742
0.499908341,0.426026349,0.467123428,0.442610259
0.485222726,0.432900901,0.459699218,0.452142186
0.485106563,0.447321368,0.467566431,0.477484886
0.499616246,0.478051629,0.489277335,0.513875057
0.533068353,0.515605734,0.519763031,0.555784058
0.57741738,0.557360052,0.566954876,0.607451592
0.618611512,0.585367737,0.610577054,0.652670874
0.651199411,0.604812679,0.648135305,0.688193266
0.6901872,0.625589223,0.684669173,0.716512029
0.726722689,0.652345394,0.723994974,0.74722519
0.761970116,0.674521591,0.763391517,0.769523816
0.784625783,0.685466118,0.794065824,0.774253244
0.800415379,0.704641085,0.813171003,0.787811803
0.828799864,0.732180122,0.846444362,0.811046143
0.861815008,0.755139908,0.877228219,0.833720179
0.880302614,0.75003711,0.88675489,0.83555149
0.84020596,0.678231733,0.839157817,0.797876848
0.75570216,0.612398769,0.752899498,0.733412384
0.705045399,0.562959707,0.700950237,0.673237391
0.659810145,0.499659141,0.639670523,0.606513579
0.586791051,0.440752425,0.563613874,0.543546617
0.522041947,0.406541005,0.501981093,0.495444441
0.476970592,0.382615389,0.460131411,0.464408424
0.448380498,0.370860474,0.431235628,0.444013299
0.433740758,0.366311274,0.41216109,0.433626202
0.427558399,0.378208341,0.406037033,0.442036819
0.431767549,0.399097461,0.415539661,0.464432781
0.446280726,0.432916541,0.434905466,0.496853526
0.478329815,0.47287748,0.465779013,0.532163185
0.53226968,0.519674257,0.509627493,0.579322592
0.578425584,0.553762723,0.552255365,0.624467436
0.62042099,0.580480901,0.58950593,0.664029054
0.666421497,0.613921664,0.628598135,0.695417827
0.712063473,0.6503209,0.67481002,0.734820646
0.75969986,0.689601698,0.723504877,0.77118236
0.791105547,0.716008638,0.762869011,0.797514103
0.820757946,0.749010625,0.80006565,0.822786939
0.86401423,0.789686771,0.849427396,0.855272269
0.910697265,0.821506554,0.893532199,0.87979089
0.950587123,0.818712189,0.915346011,0.874405691
0.914063968,0.734789073,0.867377619,0.819452116
0.817717752,0.656048114,0.770179594,0.740553179
0.753933895,0.598552802,0.709789727,0.670999825
0.704500398,0.528428249,0.645226654,0.594986339
0.628081303,0.466168913,0.569971851,0.519782954
0.554296204,0.427284737,0.505458596,0.467132419
0.505011801,0.398338785,0.461439499,0.430991099
0.468511341,0.384073593,0.43238389,0.405749247
0.448855308,0.377691519,0.414424371,0.391667245
0.441055038,0.390497274,0.408498837,0.396370967
0.450216256,0.409580821,0.419737544,0.417793679
0.464477969,0.445982733,0.441471758,0.452221643
0.496965163,0.492562416,0.472329556,0.500825963
0.553211641,0.548863003,0.521272187,0.567054344
0.604844921,0.600244919,0.572505296,0.628588882
0.665948053,0.645136572,0.625891477,0.682382273
0.730736061,0.699888197,0.684459286,0.729650536
0.792607073,0.753681634,0.746409738,0.783657393
0.848568367,0.800184906,0.807905314,0.83087338
0.889689089,0.833164374,0.85284577,0.859882835
0.913530646,0.862953055,0.886180144,0.88673238
0.937377634,0.895471508,0.930052668,0.916685615
0.97428403,0.91793308,0.969330321,0.942140014
1,0.913091525,0.984259882,0.934230924
0.960853474,0.830268028,0.94017026,0.871254516
0.870763653,0.747159882,0.847395612,0.779810549
0.821992129,0.687640077,0.791367406,0.703332256
0.769988917,0.611925198,0.72381637,0.62051828
0.697014497,0.541676371,0.647659238,0.544387255
0.62561065,0.495998737,0.579557023,0.487233294
0.574621421,0.459381823,0.529766444,0.446009766
0.54179047,0.438884136,0.494778896,0.419835469
0.512085638,0.427611367,0.474228112,0.40514564
0.503091388,0.436148479,0.463032956,0.409496018
0.499880411,0.450952651,0.468592869,0.427067723
0.515373287,0.487581956,0.486405542,0.46111254
